"","transmission","dispersal","nExtantDis","nPathogens","meanK","maxDistance","nEvents","colonySize","colonyNumber","pop","area","dens"
"154",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"155",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"156",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"157",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"158",0.2,0.01,0,2,19,100,1e+06,100,20,2000,2500,0.8
"159",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"160",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"161",0.2,0.01,2,2,19,100,1e+06,100,20,2000,2500,0.8
"162",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"163",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"164",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"165",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"166",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"167",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"168",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"169",0.1,0.01,0,2,19,100,1e+06,100,20,2000,2500,0.8
"170",0.2,0.01,0,2,19,100,1e+06,100,20,2000,2500,0.8
"171",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"172",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"173",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"174",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"175",0.1,0.01,0,2,19,100,1e+06,100,20,2000,2500,0.8
"176",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"177",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"178",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"179",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"180",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"181",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"182",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"183",0.3,0.01,0,2,19,100,1e+06,100,20,2000,2500,0.8
"184",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"185",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"186",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"187",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"188",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"189",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"190",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"191",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"192",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"193",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"194",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"195",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"196",0.1,0.01,0,2,19,100,1e+06,100,20,2000,2500,0.8
"197",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"198",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"199",0.1,0.01,0,2,19,100,1e+06,100,20,2000,2500,0.8
"200",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"201",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"202",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"203",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"204",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"205",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"206",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"207",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"208",0.1,0.01,0,2,19,100,1e+06,100,20,2000,2500,0.8
"209",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"210",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"211",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"212",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"213",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"214",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"215",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"216",0.3,0.01,0,2,19,100,1e+06,100,20,2000,2500,0.8
"217",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"218",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"219",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"220",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"221",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"222",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"223",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"224",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"225",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"226",0.1,0.01,0,2,19,100,1e+06,100,20,2000,2500,0.8
"227",0.2,0.01,0,2,19,100,1e+06,100,20,2000,2500,0.8
"228",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"229",0.1,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"230",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"231",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"232",0.1,0.01,2,2,19,100,1e+06,100,20,2000,2500,0.8
"233",0.2,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"234",0.3,0.01,1,2,19,100,1e+06,100,20,2000,2500,0.8
"235",0.1,0.01,0,2,19,100,1e+06,100,20,2000,2500,0.8
