"","transmission","dispersal","nExtantDis","nPathogens","meanK","maxDistance","nEvents","colonySize","colonyNumber","pop","area","dens","invadeTime","longenough","extinctionTime","totalTime","survivalTime"
"41",0.2,0.01,1,2,7.8,100,1.4e+06,400,20,8000,4e+04,0.2,395.041420510035,TRUE,396.420803499379,908.652825058713,1.37938298934324
"42",0.3,0.01,1,2,8.4,100,1.4e+06,400,20,8000,4e+04,0.2,321.36296515339,TRUE,322.343238321545,724.200808769967,0.980273168154724
"43",0.1,0.01,1,2,8.8,100,1.4e+06,400,20,8000,4e+04,0.2,350.244827169884,TRUE,351.429378987122,866.314048200309,1.18455181723749
"44",0.2,0.01,1,2,8.6,100,1.4e+06,400,20,8000,4e+04,0.2,358.082374353163,TRUE,359.267235790349,877.470009381652,1.18486143718536
"45",0.3,0.01,1,2,7.1,100,1.4e+06,400,20,8000,4e+04,0.2,332.948134498064,TRUE,334.092113596459,751.035568556203,1.14397909839522
"46",0.1,0.01,1,2,9.4,100,1.4e+06,400,20,8000,4e+04,0.2,368.148458441477,TRUE,369.383316120203,846.347716435899,1.23485767872592
"47",0.2,0.01,1,2,7.2,100,1.4e+06,400,20,8000,4e+04,0.2,316.892930884601,TRUE,317.990627919182,737.560798500583,1.09769703458113
"48",0.3,0.01,1,2,9.6,100,1.4e+06,400,20,8000,4e+04,0.2,349.25689936797,TRUE,350.387894066693,774.641635413572,1.13099469872355
"49",0.1,0.01,1,2,11.4,100,1.4e+06,400,20,8000,4e+04,0.2,366.108074772832,TRUE,367.333837325343,917.940140350934,1.22576255251136
"50",0.2,0.01,1,2,9.6,100,1.4e+06,400,20,8000,4e+04,0.2,358.877488766379,TRUE,360.124722580065,822.978544289375,1.24723381368614
"51",0.3,0.01,1,2,7.8,100,1.4e+06,400,20,8000,4e+04,0.2,339.336484599291,TRUE,340.48809306975,785.530535726653,1.151608470459
"52",0.1,0.01,1,2,9,100,1.4e+06,400,20,8000,4e+04,0.2,385.487575580966,TRUE,386.88264409551,972.182871768981,1.39506851454399
"53",0.2,0.01,1,2,8.5,100,1.4e+06,400,20,8000,4e+04,0.2,369.8236960195,TRUE,371.101097694916,900.960265542871,1.27740167541629
"54",0.3,0.01,1,2,8.2,100,1.4e+06,400,20,8000,4e+04,0.2,345.24649852405,TRUE,346.361316933022,791.399993400547,1.11481840897233
"55",0.1,0.01,1,2,10.2,100,1.4e+06,400,20,8000,4e+04,0.2,348.504658215954,TRUE,349.675250676062,797.997911078732,1.17059246010734
"56",0.2,0.01,1,2,8.6,100,1.4e+06,400,20,8000,4e+04,0.2,355.251812609488,TRUE,355.861675848022,824.830503711085,0.609863238533251
"57",0.3,0.01,1,2,9.7,100,1.4e+06,400,20,8000,4e+04,0.2,391.751836929453,TRUE,393.153429638463,973.860284802058,1.40159270901046
"58",0.1,0.01,1,2,11.6,100,1.4e+06,400,20,8000,4e+04,0.2,363.985753490762,TRUE,365.207025125079,855.903778962834,1.22127163431668
"59",0.2,0.01,1,2,10.1,100,1.4e+06,400,20,8000,4e+04,0.2,366.137717973856,TRUE,367.369327820679,837.249808917703,1.23160984682357
"60",0.3,0.01,1,2,9.3,100,1.4e+06,400,20,8000,4e+04,0.2,355.758503677608,TRUE,356.913259848517,818.879642043839,1.15475617090902
"61",0.1,0.01,1,2,9,100,1.4e+06,400,20,8000,4e+04,0.2,349.866474792445,TRUE,350.95287547289,817.633234923268,1.08640068044497
"62",0.2,0.01,1,2,8.2,100,1.4e+06,400,20,8000,4e+04,0.2,351.102814802608,TRUE,352.340039577991,845.96379866802,1.23722477538354
"63",0.3,0.01,1,2,7.1,100,1.4e+06,400,20,8000,4e+04,0.2,356.778759622331,TRUE,357.948480438852,813.750503804437,1.16972081652131
"64",0.1,0.01,1,2,10.4,100,1.4e+06,400,20,8000,4e+04,0.2,365.771671648302,TRUE,366.976205513649,874.401340810102,1.20453386534751
"65",0.2,0.01,1,2,8.5,100,1.4e+06,400,20,8000,4e+04,0.2,381.525236403761,TRUE,382.933143963004,904.781564403395,1.40790755924309
"66",0.3,0.01,1,2,7.8,100,1.4e+06,400,20,8000,4e+04,0.2,359.817364509996,TRUE,361.000293558218,827.713099941632,1.18292904822152
"67",0.1,0.01,1,2,8.9,100,1.4e+06,400,20,8000,4e+04,0.2,332.374320526947,TRUE,333.440604417012,752.162438612168,1.06628389006522
