"","transmission","dispersal","nExtantDis","nPathogens","meanK","maxDistance","nEvents","colonySize","colonyNumber","pop","area","dens","invadeTime","longenough","extinctionTime","totalTime","survivalTime"
"35","0.2","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1329.10556053243","TRUE","1332.67839282108","2681.36434245474","3.57283228864594"
"36","0.3","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1624.17511942345","TRUE","1629.1394375957","3769.9939371041","4.9643181722488"
"37","0.1","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1148.52057496092","TRUE","1151.58554743701","2337.10403517189","3.06497247608081"
"38","0.2","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1869.94719525409","TRUE","1873.01992532479","11519.8145669766","3.07273007069602"
"39","0.3","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1917.32069870195","TRUE","1923.13729916979","3904.93968173663","5.81660046783736"
"40","0.1","0.01","2","2","19","100","1.4e+06","100","20","2000","2500","0.8","1549.90180199004","TRUE","1553.29665928933","2869.54256644757","3.3948572992922"
"41","0.2","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1556.2689278719","TRUE","1562.68913072175","4449.89261999346","6.42020284984892"
"42","0.3","0.01","2","2","19","100","1.4e+06","100","20","2000","2500","0.8","1130.28605800281","TRUE","1133.7538734109","2559.04094932164","3.46781540809184"
"43","0.1","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1318.46309855001","TRUE","1321.8659068572","2625.7299385522","3.40280830719121"
"44","0.2","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1931.33317015571","TRUE","1938.12007551286","4968.77675135482","6.78690535715236"
"45","0.3","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1947.52339638675","TRUE","1956.76780342884","7543.21705287988","9.24440704208996"
"46","0.1","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1695.08074774895","TRUE","1699.44051160542","3436.52345988645","4.35976385647814"
"47","0.2","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","2099.74553971132","TRUE","2103.13549309549","4779.95149877102","3.38995338416589"
"48","0.3","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1926.49870604048","TRUE","1929.57040527836","8240.50428421846","3.07169923787615"
"49","0.1","0.01","2","2","19","100","1.4e+06","100","20","2000","2500","0.8","1474.40560690811","TRUE","1478.26801542222","3675.48131743185","3.86240851411208"
"50","0.2","0.01","2","2","19","100","1.4e+06","100","20","2000","2500","0.8","1386.61892685376","TRUE","1391.28804927078","3427.77803453679","4.66912241702244"
"51","0.3","0.01","2","2","19","100","1.4e+06","100","20","2000","2500","0.8","1226.51319718495","TRUE","1230.19183618872","3079.06658358907","3.67863900376869"
"52","0.1","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","2077.63498260141","TRUE","2086.17556443185","4402.49225107218","8.54058183043708"
"53","0.2","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1793.52138142624","TRUE","1802.00807446224","Inf","8.48669303599968"
"54","0.3","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1742.29551967911","TRUE","1751.79036414816","9212.64583421942","9.4948444690574"
"55","0.1","0.01","2","2","19","100","1.4e+06","100","20","2000","2500","0.8","1405.36396355272","TRUE","1410.31383769047","3218.83176632238","4.94987413774606"
"56","0.2","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1629.40052539767","TRUE","1633.94266691007","3536.80559454757","4.54214151239876"
"57","0.3","0.01","2","2","19","100","1.4e+06","100","20","2000","2500","0.8","1479.75030539281","TRUE","1485.28411067803","4889.25231115122","5.53380528521961"
"58","0.1","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1410.20688641529","TRUE","1414.75736569851","3006.40170201784","4.5504792832171"
"59","0.2","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1477.77888055288","TRUE","1482.72486602779","3131.34593087013","4.9459854749075"
"60","0.3","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","3714.16745649471","TRUE","3725.74624836672","10111.808542458","11.5787918720162"
"61","0.1","0.01","2","2","19","100","1.4e+06","100","20","2000","2500","0.8","1509.59843753947","TRUE","1514.38492674425","3552.89486579988","4.78648920477963"
"62","0.2","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1415.43921583741","TRUE","1419.79362311356","2983.3074289976","4.35440727614946"
"63","0.3","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1151.58767644816","TRUE","1155.44531505196","2612.24754672947","3.85763860379939"
"64","0.1","0.01","2","2","19","100","1.4e+06","100","20","2000","2500","0.8","1599.40901140391","TRUE","1606.1801650748","11437.2952742039","6.77115367089436"
"65","0.2","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1660.90144201663","TRUE","1665.74429566032","3517.03545979745","4.84285364368702"
"66","0.3","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1610.78338433832","TRUE","1616.06284587665","3537.94735875071","5.27946153832158"
"67","0.1","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1544.18930075754","TRUE","1549.81116738756","3450.38941290777","5.62186663001853"
"68","0.2","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1411.76404063058","TRUE","1415.94786316522","3139.01915718838","4.18382253463346"
"69","0.3","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1488.03947415559","TRUE","1491.84133993099","3156.8153090275","3.80186577540212"
"70","0.1","0.01","2","2","19","100","1.4e+06","100","20","2000","2500","0.8","1325.576909717","TRUE","1330.46202243188","3725.90454885786","4.88511271488119"
"71","0.2","0.01","2","2","19","100","1.4e+06","100","20","2000","2500","0.8","1954.40659730527","TRUE","1963.03650091546","4585.05285640148","8.62990361019229"
"72","0.3","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1513.1789461004","TRUE","1517.42019812209","3006.08359505246","4.24125202168898"
"73","0.1","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1496.21617525979","TRUE","1501.78065547652","3712.89021992652","5.56448021673077"
"74","0.2","0.01","2","2","19","100","1.4e+06","100","20","2000","2500","0.8","1595.77063896792","TRUE","1600.44935879169","3157.39572170124","4.67871982377574"
"75","0.3","0.01","2","2","19","100","1.4e+06","100","20","2000","2500","0.8","1633.00594798129","TRUE","1638.60275189593","4558.42943944853","5.59680391463576"
"76","0.1","0.01","1","2","19","100","1.4e+06","100","20","2000","2500","0.8","1706.48488559695","TRUE","1712.24482708409","3691.85658546186","5.75994148714108"
